sequence,source_frame,gt_displacement_px,gt_displacement_norm,gt_linear_scale_ratio,gt_scale_change_factor,gt_width_ratio,gt_height_ratio
ball06_indoor_2,1,28.151376520518493,1.3097205676662351,0.9534625892455924,1.0488088481701514,0.9545454545454546,0.9523809523809523
ball06_indoor_2,2,27.51363298439521,1.3425278218275227,1.0,1.0,1.0,1.0
ball06_indoor_2,3,32.65348373451139,1.5933268579266704,1.0734900802433864,1.0734900802433864,1.0476190476190477,1.1
ball06_indoor_2,4,31.976553910638962,1.4534797232108618,1.0899617098438,1.0899617098438,1.0454545454545454,1.1363636363636365
ball06_indoor_2,5,26.580067720004024,1.1084654492468013,0.9582592914056286,1.0435588874209023,0.9565217391304348,0.96
ball06_indoor_2,6,24.73863375370596,1.07661084384791,1.0,1.0,1.0,1.0
ball06_indoor_2,7,19.45507645834372,0.8466735265768386,1.0009465217452627,1.0009465217452627,1.0454545454545454,0.9583333333333334
ball06_indoor_2,8,19.03943276465977,0.8278014245504248,0.9990543733109615,1.0009465217452627,1.0434782608695652,0.9565217391304348
ball06_indoor_2,9,13.416407864998739,0.5838742081211422,1.0,1.0,1.0,1.0
ball06_indoor_2,10,14.212670403551895,0.618527087180309,1.0,1.0,1.0,1.0
ball06_indoor_2,11,8.602325267042627,0.3743681545638132,1.0,1.0,1.0,1.0
ball06_indoor_2,12,8.06225774829855,0.3508647326336185,1.0,1.0,1.0,1.0
ball06_indoor_2,13,8.0,0.3481553119113957,1.0,1.0,1.0,1.0
ball06_indoor_2,14,12.206555615733702,0.5312221472199457,1.0,1.0,1.0,1.0
ball06_indoor_2,15,11.40175425099138,0.49619766344887317,1.0,1.0,1.0,1.0
ball06_indoor_2,16,12.041594578792296,0.5240431395612504,1.0,1.0,1.0,1.0
ball06_indoor_2,17,19.29378138157474,0.839654059356554,1.0642254261084714,1.0642254261084714,1.0833333333333333,1.0454545454545454
ball06_indoor_2,18,19.72308292331602,0.8065368387375761,1.081928168536576,1.081928168536576,1.0769230769230769,1.0869565217391304
ball06_indoor_2,19,20.81465829649865,0.7867201353903251,0.9418826132501105,1.0617034287843434,0.9642857142857143,0.92
ball06_indoor_2,20,20.81465829649865,0.8352634652375912,0.9376710793983659,1.0664720518431963,0.9629629629629629,0.9130434782608695
ball06_indoor_2,21,9.394147114027968,0.40203238256393803,1.023532631438318,1.023532631438318,1.0,1.0476190476190477
ball06_indoor_2,22,9.617692030835672,0.40213590577476005,1.0419521753249212,1.0419521753249212,1.0384615384615385,1.0454545454545454
ball06_indoor_2,23,13.0862523283024,0.525133216746106,0.9813067629253163,1.0190493307301363,0.9629629629629629,1.0
