sequence,frame,reference_frame,score,predicted_scale_factor,gt_scale_factor,current_iou,preceding_low_iou_frames
bag05_indoor,16,0,0.7928701639175415,1.2975672505095956,1.1928572336887573,0.7876267121236239,0
bag05_indoor,22,16,0.8740881681442261,1.2600121587035338,1.1419840337615443,0.7347585604958571,0
bag05_indoor,28,22,0.8022301197052002,1.2631203653317198,1.383522189460134,0.8575586070985022,0
bag05_indoor,38,28,0.7618147134780884,1.2735900256045343,1.1417869478481801,0.9001285451624323,0
bag05_indoor,45,38,0.8650949001312256,1.309265094501053,1.246535558320511,0.9482040486505148,0
bag05_indoor,113,45,0.7526528835296631,1.3381404093094447,1.328257583182913,0.864465838459842,0
bag05_indoor,180,113,0.8654788732528687,1.484209565987305,1.5480741627730172,0.9363992136451325,0
bag05_indoor,189,180,0.8068868517875671,1.2644768001463496,1.2970409976702582,0.9405119218248972,0
bag05_indoor,201,200,0.8736662864685059,1.313851649240513,1.3507083865660663,0.9377691148370166,0
bag05_indoor,203,201,0.8797340393066406,1.270751999404356,1.1567065213731818,0.7752277489663949,0
bag05_indoor,231,203,0.8657140731811523,1.324420255189641,1.2934610448924924,0.7576696820499991,0
bag05_indoor,233,231,0.8197945356369019,1.3154470491158294,1.261079926350888,0.8318569166393223,0
bag05_indoor,240,233,0.8902372717857361,1.282396842177159,1.4155472908650137,0.9559613003431591,0
bag05_indoor,251,240,0.8014625906944275,1.4506705265633062,1.5198879942841546,0.9306466026927168,0
bag05_indoor,256,251,0.7653446793556213,1.3855488526122697,1.0640538671269395,0.5095794456517112,0
bag05_indoor,265,256,0.9017202258110046,1.2639897703889866,1.0173698247412875,0.9304915492379189,0
bag05_indoor,267,265,0.8801843523979187,1.5525022284646757,1.5820706431035088,0.9268546512642226,0
bag05_indoor,272,267,0.772329568862915,1.327807706956844,1.2541203010613247,0.8822101028945554,0
bag05_indoor,277,272,0.7747117280960083,1.5380399433311809,1.5647699458350752,0.9566316681892058,0
bag05_indoor,281,277,0.8268998861312866,1.5190157232725294,1.4807737943049681,0.9416006888221873,0
bag05_indoor,285,281,0.8856098055839539,1.7437832876517898,1.746424919657298,0.9415893037451386,0
bag05_indoor,287,285,0.9305580258369446,1.3359312711229643,1.3954720617809329,0.9279372448777429,0
bag05_indoor,302,300,0.8262262940406799,1.8203354060775985,1.7128791358280167,0.9300571941564306,0
bag05_indoor,309,302,0.7970395088195801,1.6360253960996816,1.6658938010372184,0.9305457814904671,0
bag05_indoor,310,309,0.7938084006309509,1.392197876084073,1.4412729225160832,0.8124993155537001,0
bag05_indoor,312,310,0.7655693888664246,1.3295788878661967,1.3050852387499965,0.737832982204036,0
bag05_indoor,316,312,0.8832836151123047,1.5449334493858826,1.6790467224353742,0.9330605200647856,0
bag05_indoor,318,316,0.8339444994926453,1.405607944778785,1.3897613346053987,0.9450576817593427,0
bag05_indoor,329,318,0.8355752229690552,1.8952252963574687,1.9714822679318884,0.8282345927546134,0
bag05_indoor,336,329,0.8961972594261169,1.2951778503390836,1.343947391438742,0.9560522415963983,0
bag05_indoor,339,336,0.9003704190254211,1.2997183040546059,1.2857864337621367,0.9171367255443569,0
bag05_indoor,343,339,0.8590375185012817,1.6539898058704374,1.6896369081420812,0.9064873228876067,0
bag05_indoor,348,343,0.9082169532775879,1.261582162057214,1.2846593518710125,0.8954922052034316,0
bag05_indoor,354,348,0.8161289691925049,1.4045983821653667,1.3867504905630728,0.9190648423880383,0
bag05_indoor,357,354,0.8955186009407043,1.256809827515654,1.2584261454834622,0.8887357666817566,0
bag05_indoor,365,357,0.86985182762146,1.7809088220889504,1.965693130514646,0.873115433282566,0
bag05_indoor,375,365,0.8973031044006348,1.3219735763206297,1.461788424097481,0.9105183102604489,0
bag05_indoor,378,375,0.8924143314361572,1.3784013173675562,1.3077957980235617,0.9399134790130501,0
bag05_indoor,381,378,0.8618695139884949,1.333769612644173,1.3412767048686112,0.9306716536096715,0
bag05_indoor,384,381,0.8710483908653259,1.3727479292831855,1.4558726652394105,0.863946659936781,0
bag05_indoor,389,384,0.8087422847747803,1.4270379873472685,1.3844373104863459,0.9170211459852889,0
bag05_indoor,394,389,0.7746936082839966,1.4042862864866852,1.3583954119615156,0.9056244789431576,0
bag05_indoor,399,394,0.7733134627342224,1.7840488794135956,1.748117266802952,0.8695124003064109,0
bag05_indoor,404,400,0.8743937015533447,1.3131080658448098,1.3141837357302806,0.867013042063779,0
bag05_indoor,411,404,0.75335294008255,1.4231402612513142,1.594916478499173,0.8086329616190872,0
bag05_indoor,415,411,0.7526451945304871,2.134659283369655,,,0
bag05_indoor,486,450,0.8153403997421265,1.5044332703298209,,0.8944042326427336,0
bag05_indoor,491,486,0.7724044322967529,1.6308554350286661,1.8177266468595819,0.6796548312810691,0
bag05_indoor,514,491,0.802057147026062,1.2794180768529406,1.1337515315943505,0.926057472417264,0
bag05_indoor,520,514,0.8866661190986633,1.6348712350648502,1.6127707837847265,0.9130224006089717,0
bag05_indoor,529,520,0.9246300458908081,1.3774450666098996,1.462461171071775,0.9166089773931266,0
bag05_indoor,546,529,0.815231442451477,1.5658198500087939,1.5425336507255167,0.9169406878915572,0
bag05_indoor,551,550,0.9313234686851501,1.2559748571429248,1.2693372810895054,0.9714252325980663,0
bag05_indoor,554,551,0.9149248003959656,1.262632533257812,1.2398216635858321,0.9476495392273981,0
bag05_indoor,560,554,0.8901554346084595,1.4379270635485666,1.4212959946917283,0.943651501417482,0
bag05_indoor,570,560,0.7506889700889587,1.5681568762679292,1.9485571585149868,0.6863427944995598,0
bag05_indoor,590,570,0.8339992761611938,1.3434144726226729,1.5718221909618149,0.9354255268611127,0
bag05_indoor,596,590,0.780744194984436,1.3166189567436857,1.368209030974867,0.9353726394932714,0
bag05_indoor,598,596,0.8761405348777771,1.2939637807073403,1.3693063937629153,0.8502697747794669,0
bag05_indoor,604,600,0.8874484300613403,1.4895698589228716,1.4762115101448179,0.9617179812723601,0
bag05_indoor,612,604,0.9039157032966614,1.308768996807849,1.352122707302424,0.9413273487885644,0
bag05_indoor,614,612,0.779474675655365,1.2533954803998524,1.2291111771171417,0.7931186357976295,0
bag05_indoor,617,614,0.8984173536300659,1.4500333862109285,1.4679516868351474,0.928111761051529,0
bag05_indoor,620,617,0.8680841326713562,1.5129067343121194,1.5262410572075051,0.8841982432165565,0
bag05_indoor,630,620,0.8171654343605042,1.3247028976249888,1.3552470910764385,0.9167218080848106,0
bag05_indoor,635,630,0.8562649488449097,1.399907516148886,1.5872759268885528,0.7049192161958104,0
bag05_indoor,638,635,0.9009426832199097,1.3110910061318415,1.1499026172053397,0.9708444772546356,0
bag05_indoor,656,638,0.8210110068321228,1.7005179982494145,1.7036641195868956,0.950820084858294,0
bag05_indoor,667,656,0.8348536491394043,1.425279681193926,1.4398882723720616,0.9374379036471647,0
bag05_indoor,672,667,0.8513755202293396,1.2831089473756252,1.382894317804103,0.8051145230853096,0
bag05_indoor,674,672,0.8596078157424927,1.304104870399589,1.2227437491155504,0.901781775927312,0
bag05_indoor,676,674,0.926325798034668,1.2871600278756345,1.3083293162536578,0.9580814172675589,0
bag05_indoor,699,676,0.9104690551757812,1.281092674872187,1.2832886701366146,0.9402196279597663,0
bag05_indoor,704,700,0.8787694573402405,1.3362002538942308,1.3919410907075054,0.8909743069717886,0
bag05_indoor,716,704,0.7939760088920593,1.2844153585344817,1.3886110833277763,0.877689809474675,0
bag05_indoor,736,716,0.7543654441833496,1.250162753873995,,,0
bag05_indoor,811,800,0.7527987360954285,1.3569328235404496,1.175675931992053,0.8694326328063212,3
bag05_indoor,833,811,0.7566057443618774,1.2804680362029601,,,0
ball07_indoor,415,400,0.782207190990448,1.3210155731652926,1.3788526273323174,0.8832498018282778,0
ball07_indoor,420,415,0.771590530872345,1.3461441830717866,1.326977605394074,0.9162859851363799,0
ball07_indoor,433,420,0.88067626953125,1.4888198536110342,1.59891267401645,0.8273998097886516,0
ball07_indoor,490,450,0.759904146194458,1.3407419714159479,1.3348476249438295,0.8220477408981032,0
ball07_indoor,541,490,0.878338098526001,1.264224510749027,1.1911570924337473,0.8660743941984549,0
ball07_indoor,613,600,0.8943251371383667,1.2700259782949854,1.2974952964241406,0.8923930350269089,0
ball07_indoor,646,613,0.8177604079246521,1.2692083758464268,1.2776569991227722,0.9390040415493066,0
ball07_indoor,741,700,0.8216344118118286,1.2745187559309998,1.185541257052971,0.8378643227633413,0
ball07_indoor,798,741,0.7920332551002502,2.0360388840396135,,,0
ball07_indoor,819,800,0.9143487215042114,1.2538841845425572,,,0
ball07_indoor,1139,1050,0.7786792516708374,1.4271277859351224,,0.8310768726956078,0
ball07_indoor,1148,1139,0.7620078921318054,1.2608142743367556,1.2736648783028535,0.9567040656126051,0
ball07_indoor,1340,1300,0.7786184549331665,1.3819701218499059,1.4453882823731847,0.8840807096227278,0
ball07_indoor,1520,1340,0.8372963666915894,1.2667408872297214,1.224744871391589,0.8727571092622541,0
ball07_indoor,1533,1520,0.8273939490318298,1.269171770841,1.2616383262052049,0.876583326828691,0
ball07_indoor,2340,2200,0.7975720167160034,1.580525913008201,1.5756480148391858,0.9204612558684605,0
ball07_indoor,2493,2340,0.7600171566009521,1.5517362090617628,1.623165631310208,0.8995169387509688,0
ball19_indoor,832,800,0.7722318172454834,1.3548183771853697,1.5120207989811927,0.7566109407610156,0
ball19_indoor,838,832,0.860826849937439,1.2788125101681058,1.4093285268352884,0.9124908895795909,0
ball19_indoor,1181,1150,0.8885915279388428,1.269778533988895,1.347650759985119,0.8522194760444209,0
ball19_indoor,1194,1181,0.9148991107940674,1.2632707198485635,1.3065220012638994,0.8302151190804162,0
ball19_indoor,1220,1200,0.8428870439529419,1.2701636526192783,1.2365764344111068,0.9109742418624872,0
ball19_indoor,1238,1220,0.9126079678535461,1.259300079209733,1.2861416462997008,0.9161736919079633,0
ball19_indoor,1244,1238,0.8624619841575623,1.3049492652552335,1.2957006137184885,0.9089152213149982,0
ball19_indoor,1248,1244,0.9441229104995728,1.2515817062325842,1.2076530822618254,0.942926301338173,0
ball19_indoor,1267,1250,0.8598132729530334,1.3740650935970125,1.338023653229695,0.9333129611392794,0
ball19_indoor,1273,1267,0.7871781587600708,1.416821300679947,1.3873808937170746,0.9330349017380679,0
ball19_indoor,1280,1273,0.921535313129425,1.268260411391106,1.2332090002429297,0.8945876447426508,0
ball19_indoor,1304,1280,0.8802499175071716,1.5127213102453672,1.5342787211031284,0.9046799226707771,0
ball19_indoor,1324,1304,0.8347365856170654,1.2629751302164385,1.2879443985259575,0.9196545662664505,0
beautifullight01_indoor,19,0,0.8811392784118652,1.2664396261540347,1.2664485886212837,0.979869326964269,0
beautifullight01_indoor,36,19,0.8685224056243896,1.259625740985667,1.2442286591572393,0.9464901521474448,0
beautifullight01_indoor,56,36,0.8429091572761536,1.309515277013637,1.2783234282340332,0.9013913012986233,0
beautifullight01_indoor,138,56,0.8082801103591919,1.2888301751794131,1.2329117425236933,0.8800770954639977,0
beautifullight01_indoor,159,138,0.8313368558883667,1.2869970122033558,1.0833068443466352,0.7927540067096293,0
beautifullight01_indoor,220,200,0.8498995304107666,1.2675380231361606,1.3048878267641086,0.9368559616756024,0
beautifullight01_indoor,239,220,0.8458383083343506,1.275678689323527,1.2631286995485234,0.8705685401520518,0
beautifullight01_indoor,261,239,0.809686541557312,1.3258471247408365,1.1280077276737763,0.7448547465436971,0
beautifullight01_indoor,276,261,0.9022956490516663,1.2505359251654622,1.1020730487983026,0.9464179279189404,0
beautifullight01_indoor,298,276,0.8036466240882874,1.341919631123455,1.3990989978786714,0.9181992323182868,0
beautifullight01_indoor,319,298,0.8951848149299622,1.2637803568511647,1.2970812078414171,0.9604378519342411,0
beautifullight01_indoor,326,319,0.753961443901062,1.255093346137137,1.1405348184650688,0.8001460999899443,0
beautifullight01_indoor,341,326,0.8479071259498596,1.5847359080766146,1.4120867788624931,0.9152251151394007,0
beautifullight01_indoor,357,350,0.8824499249458313,1.2951201184847263,1.2482941635695086,0.9061860387695989,0
beautifullight01_indoor,447,357,0.7500247359275818,1.5727371676402826,1.7527450997265361,0.8618139518280923,0
